publish_date,headline_place,headline_state,NCRB_stats,headline_text
20200126,city.jaipur,Rajasthan,,Jaipur: Woman found murdered at guest house in Sanganer
20200526,city.jaipur,Rajasthan,,Missing woman found murdered in Jaipur
20200527,city.jaipur,Rajasthan,,Rajasthan: Prime suspect in woman murder case hangs self
20200709,city.jaipur,Rajasthan,,Woman; lover held for murder of mom-in-law
20200811,city.jaipur,Rajasthan,,Rajasthan: Woman's murder remains a mystery
20200825,city.jaipur,Rajasthan,,Rajasthan: Three arrested for woman's murder in Jaisalmer
20200910,city.jaipur,Rajasthan,,Bhiwadi murder: Woman's head found in drain after 29 days
20201013,city.jaipur,Rajasthan,,Rajasthan: Woman found murdered; live-in partner missing
20201015,city.jaipur,Rajasthan,,Jaipur: Woman's live-in partner held for murder
20201110,city.jaipur,Rajasthan,,Jaisalmer: Married woman 'hangs self'; father alleges dowry murder
20201119,city.jaipur,Rajasthan,,Woman's murder: Husband; friend; contract killers held
20201121,city.jaipur,Rajasthan,,Woman found murdered in Alwar district
20201121,city.jaipur,Rajasthan,,Jaipur: Cop accused of rape & murder of woman; held
20201201,city.jaipur,Rajasthan,,Woman; paramour arrested over husband's murder
20201206,city.jaipur,Rajasthan,,55-year-old woman found murdered in Jaisalmer district
20201210,city.jaipur,Rajasthan,,Woman; servant held for man's murder; lover at large
20200104,city.jaipur,Rajasthan,,Woman killed; cops suspect missing daughter
20200801,city.jaipur,Rajasthan,,Rajasthan: Woman killed as ambulance overturns in Jhalawar district
20200805,city.jaipur,Rajasthan,,45-year-old Jaipur woman found killed; police suspect family feud
20200820,city.jaipur,Rajasthan,,Rajasthan: Woman killed in wall collapse in Baran
20200303,city.jaipur,Rajasthan,,54-year-old woman with mental disability raped in Dholpur
20200426,city.jaipur,Rajasthan,,Woman quarantined in school gang-raped by 3 men in Rajasthan
20200706,city.jaipur,Rajasthan,,Woman raped by in-laws in Jhalawar
20200919,city.jaipur,Rajasthan,,Woman raped in Alwar; accused force nephew to rape her as well
20200618,city.chennai,Tamil Nadu,6630,Chennai: Railways told to pay Rs 1.7 lakh to robbed woman
20201116,city.chennai,Tamil Nadu,,Homealone woman; 75; robbed in Tirumullaivoyal
