publish_date,headline_category,headline_text
20210522,city.visakhapatnam,Andhra Pradesh: Juvenile detained for murder; sexual assault of 63-year-old woman
20210523,city.pune,Woman found murdered at home in Dhankawdi
20210525,city.pune,Woman held on charge of mother-in-law's murder
20210525,city.noida,Woman; son murdered in Kavi Ngr; relative held; one more on the run
20210526,city.rajkot,Woman booked for murdering her two kids
20210526,city.pune,Woman found murdered in Chakan; 1 held
20210607,city.pune,Woman; paramour held for husband's murder
20210608,city.rajkot,Jamnagar: Two held for murdering 50-yr-old woman
20210610,city.ludhiana,Ludhiana: Day after; murdered woman identified
20210613,city.agra,Mathura: US woman held for attacking SI; booked for attempt to murder
20210614,city.delhi,65-yr-old woman found murdered at Burari residence; inside job suspected
20210615,city.meerut,Meerut: Woman who died days after 'love marriage' was murdered; confirms postmortem report
20210617,city.pune,husband prime suspect in murder of lohegaon woman son police
20210617,city.kochi,Kerala: Spurned youth murders woman in Malappuram
20210617,city.kozhikode,Kerala: Spurned youth murders woman in Malappuram
20210623,city.surat,Life term to three for 2011 loot and murder of woman
20210702,city.chandigarh,Punjab: Murder case filed over 4 months after elderly woman's death
20210703,city.meerut,Hapur: Woman strangulates her toddler to death; later hangs herself; family suspects murder by in-laws
20210705,city.meerut,Hapur: Woman strangulates her toddler to death; later hangs herself; family suspects murder by in-laws
20210705,city.rajkot,Gujarat: 19-year-old murdered for talking to a woman
20210705,city.kozhikode,Kerala: Woman held for alleged murder of daughter
20210710,city.rajkot,Woman; son murdered by her paramour in Bhavnagar
20210712,city.kanpur,Kanpur: Former bandit; five others held for woman's murder
20210713,city.madurai,Mother; sister held for murdering pregnant woman in Tamil Nadu
20210713,city.coimbatore,Woman arrested for murdering 31-year-old widowed daughter in Coimbatore
20210717,city.kanpur,Body of MP woman in inter-faith marriageexhumed in Jhansi on suspicion of murder
20210719,city.visakhapatnam,Vizag: Woman; lover nabbed for husband's murder
20210719,city.kanpur,Elderly woman found murdered; Needle of suspicion is on tenants who are absconding
20210721,city.vijayawada,Andhra Pradesh: Three held for murdering woman over dowry in Nellore
20210723,city.agra,In brutal murder; woman; 3 children bleed to death after intruder slits throats in Agra
20210723,city.udaipur,elderly woman murder accused vegetable vendor held
20210728,city.coimbatore,Woman; lover; four minors held for bid to murder husband
20210731,city.bareilly,'Honour killing': Father; his twin bro arrested for murder of woman outside police station
20210802,city.hyderabad,Four more arrested for role in woman advocate's murder
20210808,city.madurai,Newly-wed woman murdered by hubby
20210811,city.hyderabad,Woman murdered in front of flatmate in Hyderabad; cops scour CCTV
20210815,city.hyderabad,Couple held in Hyderabad for woman's murder
20210815,city.chandigarh,60-year-old woman living alone found murdered in Hisar's Shastri Nagar
20210817,city.meerut,2 held for murder of delhi woman her friend cops say they were blackmailing accused
20210817,city.rajkot,Woman murdered by paramour in front of her husband
20210818,city.mangaluru,Woman; boyfriend get life for husband's murder
20210818,city.coimbatore,Man gets life for murdering 83-year-old woman
20210819,city.dehradun,2 days after noida woman found murdered in naini hotel her live in partner arrested from gzb
20210822,city.madurai,Woman police constable murdered; husband arrested
20210829,city.allahabad,Elderly woman tricked into getting gold loan; murdered
20210830,city.vijayawada,52-yr-old woman found murdered in Tenali home
20210831,city.hyderabad,Telangana: Murder-accused tribal woman thrashed and disrobed; 5 held
20210902,city.delhi,Murder and gang rape of woman in Faridabad: DCW notice to police
20210905,city.kochi,Kerala: Murder bid on woman in Idukki ; case filed against dead lover
20210912,city.kochi,Two relatives arrested for murder of elderly woman
20210914,city.jaipur,Rajasthan: Day after woman's murder; cops arrest her neighbour
20210915,city.dehradun,30-year-old woman found murdered in Haridwar
20210915,city.meerut,Woman; her gangster paramour get life term for murdering mother-in-law
20210916,city.delhi,Woman; lover held for murdering her husband in south Delhi
20210917,city.aurangabad,Woman among 3 held for her child's murder
20210918,city.pune,Woman found murdered at building site
20210918,city.coimbatore,Woman hires goons to murder husband
20210919,city.hubballi,Supari murder: Woman among four held for killing blackmailer
20210920,city.trichy,woman held for murdering daughter 7
20210923,city.delhi,Two fresh suspects in murder of Kyrgyz woman; son
20210923,city.chennai,Tamil Nadu: Woman; accused in Dalit leader murder; beheaded by gang
20210923,city.hyderabad,55-year-old woman murdered in Nalgonda
20210924,city.coimbatore,Woman arrested for murdering yr-old grandson
20210924,city.hyderabad,Telangana minister G Jagadish Reddy gheraoed by protesters over rape & murder of woman
20210927,city.pune,Woman murdered in Bhosari
20210927,city.delhi,Delhi: Autopsy shows woman murdered; husband held
20210928,city.jaipur,Jaipur: Missing 60-year-old woman gang-raped and murdered
20210929,city.meerut,Lover; friend held for woman's murder in Bijnor
20210929,city.madurai,Plea for CB-CID probe into murder of policewoman
20210930,city.dehradun,'Double murder': 55-year-old woman; servant found dead
20211001,city.hyderabad,Woman; 4 others get life sentence for murder
20211010,city.delhi,Delhi: Blind man trying to help blind woman murdered in Sultanpuri
20211012,city.jaipur,300 people questioned; 150 cops slog to solve Bassi woman's murder
20211014,city.allahabad,Woman; daughter murdered in trans-Yamuna locality
20211014,city.hyderabad,Hyderabad: Woman & lover arrested for husband's murder
20211020,city.jaipur,Jaipur: Woman murdered; feet chopped off; jewellery missing
20211022,city.chandigarh,Woman found brutally murdered in Hallomajra
20211022,city.hyderabad,Woman & friend held for murder
20211022,city.jaipur,Rajasthan: 26-year-old married Jaisalmer woman commits suicide; kin allege murder
20211023,city.aurangabad,Maharashtra: Woman; three others held for husband's murder
20211025,city.patna,Woman's murder: Patna cops arrest shooter
20211027,city.jaipur,Papla gets lifer for murder of 65-yr-old woman in Haryana
20211028,city.dehradun,Dehradun: Man sentenced to life for murdering woman in 2014
20211028,city.trichy,Woman found murdered in Thanjavur was gang-raped
20211029,city.trichy,Woman found murdered in Thanjavur was gang-raped
20211101,city.pune,70-year-old woman found brutally murdered at home in Pune
20211101,city.dehradun,Woman's body found in US Nagar; police suspect rape; murder
20211104,city.mumbai,Mumbai: Vagrant woman found murdered
20211104,city.delhi,Woman found murdered in south Delhi; no clues yet
20211105,city.nashik,Nashik: Police look for relative after woman's murder
20211106,city.kolkata,Kolkata: Woman found dead; cops suspect murder
20211107,city.meerut,Woman alleges father; brother murdered minor lover; moments after his body found hanging from a tree
20211107,city.kolkata,Mutton seller arrested for Behala woman's murder
20211113,city.dehradun,30-year-old woman sent to 14-day judicial remand for husband's murder
20211113,city.delhi,Delhi Police arrest 2 in woman wrestler murder case
20211115,city.mumbai,Month after he's out of jail for murder; man held for killing another woman in Mumbai
20211116,city.agra,Cops lodge murder case; send DNA samples of children; woman found dumped on Yamuna expressway for testing
20211116,city.ajmer,Ajmer: Woman falls from third floor and dies; murder case against husband
20211118,city.coimbatore,42-year-old woman arrested for trying to murder septuagenarian mother
20211121,city.patna,26-year-old woman found murdered in Aurangabad
20211121,city.meerut,headless armless body of woman found tattoo on decapitated arm leads police to the murderer her husband
20211121,city.nagpur,Hubby; 3 others arrested for woman's murder
20211123,city.delhi,Delhi: Rape charge added to murder of 30-year-old woman by minor
20211125,city.lucknow,Triple murder in Uttar Pradesh: Jilted lover kills woman; her parents
20211125,city.lucknow,Triple murder in Uttar Pradesh: Jilted lover kills woman; her parents
20211126,city.delhi,Woman among three murdered in different incidents across city
20211130,city.mumbai,Mumbai: Woman dies saving husband; lover gets life term for murder
20211203,city.jaipur,Rajasthan: Woman held for plotting youth's murder
20211206,city.thiruvananthapuram,Woman held for son's murder
20211207,city.jaipur,Rajasthan: Bodies of murdered woman; daughter found; cops suspect killer knew them
20211213,city.delhi,Delhi: Minor held for involvement in murder of 79-year-old woman
20211215,city.meerut,Woman; lover get life term for murdering her husband
20211216,city.rajkot,70-year-old woman robbed; murdered
20211217,city.vadodara,Life term for man who raped; murdered woman
20211220,city.coimbatore,Woman found murdered; police suspect rape
20211228,city.lucknow,UP: Woman gets daughter murdered after being caught with her lover
20211230,city.thiruvananthapuram,Man arrested for murdering woman
20211230,city.thiruvananthapuram,Man arrested for murdering woman in Kerala
20210104,city.patna,Woman killed for 'witchcraft' in Bihar
