publish_date,headline_place,headline_state,headline_text
20210324,city.chandigarh,Punjab & Haryana,Man killed 70-year-old woman; shared video with girlfriend: Cops
20210627,city.chandigarh,Punjab & Haryana,Woman killed; son injured in hit & run
20210817,city.chandigarh,Punjab & Haryana,Woman killed; buried son in house; arrested
20210331,city.jaipur,Rajasthan,Woman killed in road accident; husband critical
20210612,city.jaipur,Rajasthan,Rajasthan: Jhunjhunu woman killed by son over mining of bajri
20210716,city.jaipur,Rajasthan,Dausa woman found killed in her rented room in Jaipur
20210718,city.jaipur,Rajasthan,Police suspect man from nearby village killed Dausa woman
20211006,city.jaipur,Rajasthan,Woman; daughter-in-law killed in Churu; one held
20211219,city.jaipur,Rajasthan,Three including woman killed in 2 mishaps in Bayana
20210121,city.jaipur,Rajasthan,Hubby held for murder of Sawai Madhopur woman
20210305,city.jaipur,Rajasthan,Woman; lover held for murder of physically challenged husband in Alwar
20210306,city.jaipur,Rajasthan,SHRC seeks report on Dausa woman's murder by dad
20210418,city.jaipur,Rajasthan,Woman booked for murder of man in Jaipur
20210512,city.jaipur,Rajasthan,Woman dies; kin allege murder
20210914,city.jaipur,Rajasthan,Rajasthan: Day after woman's murder; cops arrest her neighbour
20210928,city.jaipur,Rajasthan,Jaipur: Missing 60-year-old woman gang-raped and murdered
20211012,city.jaipur,Rajasthan,300 people questioned; 150 cops slog to solve Bassi woman's murder
20211020,city.jaipur,Rajasthan,Jaipur: Woman murdered; feet chopped off; jewellery missing
20211022,city.jaipur,Rajasthan,Rajasthan: 26-year-old married Jaisalmer woman commits suicide; kin allege murder
20211027,city.jaipur,Rajasthan,Papla gets lifer for murder of 65-yr-old woman in Haryana
20211203,city.jaipur,Rajasthan,Rajasthan: Woman held for plotting youth's murder
20211207,city.jaipur,Rajasthan,Rajasthan: Bodies of murdered woman; daughter found; cops suspect killer knew them
20210331,city.jaipur,Rajasthan,Woman killed in road accident; husband critical
20210612,city.jaipur,Rajasthan,Rajasthan: Jhunjhunu woman killed by son over mining of bajri
20210716,city.jaipur,Rajasthan,Dausa woman found killed in her rented room in Jaipur
20210718,city.jaipur,Rajasthan,Police suspect man from nearby village killed Dausa woman
20210908,city.jaipur,Rajasthan,Woman; peacock killed as lightning strikes tree
20210911,city.jaipur,Rajasthan,Woman killed after car falls into pond
20211006,city.jaipur,Rajasthan,Woman; daughter-in-law killed in Churu; one held
20211107,city.jaipur,Rajasthan,Woman killed; grandkids injured in explosion while crushing potash
20211219,city.jaipur,Rajasthan,Three including woman killed in 2 mishaps in Bayana
20210208,city.jaipur,Rajasthan,Woman seeking work as daily wager gang-raped; 3 held
20210311,city.jaipur,Rajasthan,Guj woman who had come to visit dargah gangraped
20210316,city.jaipur,Rajasthan,30-year-old Baran woman raped by ex-husband's brother; 3 held
20210331,city.jaipur,Rajasthan,Married woman raped by three in Barmer district
20210608,city.jaipur,Rajasthan,Jaipur: Drunk woman left on road after party raped by 2 near Bhankrota
20210702,city.jaipur,Rajasthan,Jaipur: Woman raped by husband's friend
20210707,city.jaipur,Rajasthan,Rajasthan: Pali woman drugged; raped; loses eyesight
20210903,city.jaipur,Rajasthan,Jaipur: Woman raped on pretext of doubling money; case lodged
20210909,city.jaipur,Rajasthan,Delhi woman gang-raped in Alwar; two detained
20210928,city.jaipur,Rajasthan,Jaipur: Missing 60-year-old woman gang-raped and murdered
20211016,city.jaipur,Rajasthan,Rajasthan: Woman gang-raped at hotel in Bhilwara; probe begins
20211109,city.jaipur,Rajasthan,Gurugram woman gangraped by four in Dausa; FIR lodged
20211121,city.jaipur,Rajasthan,Dalit woman raped; stabbed in eye; shifted to Jaipur hospital
20210706,city.jaipur,Rajasthan,Jhotwara police solves murder case of 2 women
20211001,city.jaipur,Rajasthan,2 murders of elderly women under probe
20211226,city.chennai,Tamil Nadu,Woman turns to woman goon to get hubby killed in Chennai
20210122,city.chennai,Tamil Nadu,Chennai woman hires men to murder abusive son-in-law; held
20210220,city.chennai,Tamil Nadu,Chennai: Carpenter arrested for rape; murder of 74-year-old woman
20210410,city.chennai,Tamil Nadu,TN woman; 57; murders hubby; 62; to get Rs 3.5cr insurance money
20210923,city.chennai,Tamil Nadu,Tamil Nadu: Woman; accused in Dalit leader murder; beheaded by gang
20211226,city.chennai,Tamil Nadu,Woman turns to woman goon to get hubby killed in Chennai
20210111,city.chennai,Tamil Nadu,Chennai: Woman vendor raped at railway yard; 2 held
20210827,city.chennai,Tamil Nadu,tamil nadu disabled woman raped near near sriperumbudur 1 held
20210506,city.coimbatore,Tamil Nadu,62-year-old woman killed for gold chain
20210622,city.coimbatore,Tamil Nadu,Woman robbed of mangalsutra in Coimbatore's Ikkarai Boluvampatti
20210103,city.coimbatore,Tamil Nadu,AIADMK woman cadre beaten up at DMK-organised grama sabha
20210126,city.coimbatore,Tamil Nadu,29-yr-old woman found murdered
20210426,city.coimbatore,Tamil Nadu,Man arrested for murder of woman; 71
20210713,city.coimbatore,Tamil Nadu,Woman arrested for murdering 31-year-old widowed daughter in Coimbatore
20210728,city.coimbatore,Tamil Nadu,Woman; lover; four minors held for bid to murder husband
20210818,city.coimbatore,Tamil Nadu,Man gets life for murdering 83-year-old woman
20210918,city.coimbatore,Tamil Nadu,Woman hires goons to murder husband
20210924,city.coimbatore,Tamil Nadu,Woman arrested for murdering yr-old grandson
20211118,city.coimbatore,Tamil Nadu,42-year-old woman arrested for trying to murder septuagenarian mother
